,Stock,Date,High,Low,Volume,Close
0,AKBNK,2013-07-29 00:00:00,6.587628,6.321998,99490628.086,6.569919
1,AKBNK,2013-07-30 00:00:00,6.817841,6.640753,115894143.8721,6.782423
2,AKBNK,2013-07-31 00:00:00,6.817841,6.55221,153041926.7313,6.587628
3,AKBNK,2013-08-01 00:00:00,6.711589,6.55221,104304869.5602,6.55221
4,AKBNK,2013-08-02 00:00:00,6.534501,6.304289,228612166.7098,6.499084
5,AKBNK,2013-08-05 00:00:00,6.569919,6.445958,98938719.6671,6.463667
6,AKBNK,2013-08-06 00:00:00,6.499084,6.375124,61453861.4203,6.375124
7,AKBNK,2013-08-07 00:00:00,6.392832,6.304289,26300653.8768,6.304289
8,AKBNK,2013-08-12 00:00:00,6.605336,6.357415,111864083.7576,6.605336
9,AKBNK,2013-08-13 00:00:00,6.747005,6.587628,128376843.9421,6.640753
10,AKBNK,2013-08-14 00:00:00,6.729297,6.623045,93937214.4083,6.658463
11,AKBNK,2013-08-15 00:00:00,6.747005,6.481376,109002933.8166,6.516793
12,AKBNK,2013-08-16 00:00:00,6.605336,6.445958,66308992.2436,6.587628
13,AKBNK,2013-08-19 00:00:00,6.481376,6.28658,111139098.3787,6.28658
14,AKBNK,2013-08-20 00:00:00,6.321998,6.180328,139511600.0805,6.268872
15,AKBNK,2013-08-21 00:00:00,6.304289,6.091784,155416829.1771,6.091784
16,AKBNK,2013-08-22 00:00:00,6.038658,5.808446,185684956.0407,5.914698
17,AKBNK,2013-08-23 00:00:00,6.074076,5.896989,199389403.7449,5.967824
18,AKBNK,2013-08-26 00:00:00,6.109494,5.87928,121034471.3857,6.091784
19,AKBNK,2013-08-27 00:00:00,5.985532,5.790737,162333494.4056,5.790737
20,AKBNK,2013-08-28 00:00:00,6.056368,5.666777,185227978.6387,6.003242
21,AKBNK,2013-08-29 00:00:00,6.215746,5.985532,164127308.463,6.003242
22,AKBNK,2013-09-02 00:00:00,6.251163,6.14491,79827855.917,6.233454
23,AKBNK,2013-09-03 00:00:00,6.251163,6.003242,156491971.3138,6.02095
24,AKBNK,2013-09-04 00:00:00,6.14491,6.003242,128342392.6904,6.074076
25,AKBNK,2013-09-05 00:00:00,6.127202,6.003242,104440004.4103,6.038658
26,AKBNK,2013-09-06 00:00:00,6.28658,6.038659,160056492.6463,6.127202
27,AKBNK,2013-09-09 00:00:00,6.463667,6.180328,151564739.472,6.463667
28,AKBNK,2013-09-10 00:00:00,6.605336,6.481375,210043657.2558,6.55221
29,AKBNK,2013-09-11 00:00:00,6.569919,6.428249,227775885.1785,6.445958
30,AKBNK,2013-09-12 00:00:00,6.587628,6.410541,170030134.898,6.587628
31,AKBNK,2013-09-13 00:00:00,6.587628,6.428249,123497648.1529,6.463667
32,AKBNK,2013-09-16 00:00:00,6.888675,6.587628,194273368.4241,6.853257
33,AKBNK,2013-09-17 00:00:00,6.977219,6.817841,153961436.6113,6.977219
34,AKBNK,2013-09-18 00:00:00,7.048053,6.924093,107419009.4055,6.941801
35,AKBNK,2013-09-19 00:00:00,7.774109,7.384518,405924901.9664,7.61473
36,AKBNK,2013-09-20 00:00:00,7.61473,7.242849,184213000.8341,7.313683
37,AKBNK,2013-09-23 00:00:00,7.384518,7.136597,147229527.0419,7.136597
38,AKBNK,2013-09-24 00:00:00,7.207431,7.048053,204203264.59,7.048053
39,AKBNK,2013-09-25 00:00:00,7.030345,6.888675,214176385.6531,6.977219
40,AKBNK,2013-09-26 00:00:00,7.030345,6.888675,118206547.3965,6.977219
41,AKBNK,2013-09-27 00:00:00,6.994927,6.729297,163110652.8221,6.764715
42,AKBNK,2013-09-30 00:00:00,6.711589,6.481376,303241327.5041,6.587628
43,AKBNK,2013-10-01 00:00:00,6.888675,6.640753,195935496.304,6.853257
44,AKBNK,2013-10-02 00:00:00,6.888675,6.640753,202415593.3308,6.676171
45,AKBNK,2013-10-03 00:00:00,6.835549,6.640753,165917611.5282,6.817841
