,Exchange,Date,High,Low,Close
0,BRL,2013-07-28 00:00:00,0.86,0.8474,0.85305
1,BRL,2013-07-29 00:00:00,0.861,0.8431,0.84745
2,BRL,2013-07-30 00:00:00,0.8556,0.8393,0.8433
3,BRL,2013-07-31 00:00:00,0.8569,0.8369,0.85245
4,BRL,2013-08-01 00:00:00,0.8569,0.8384,0.84355
5,BRL,2013-08-02 00:00:00,0.8519,0.8328,0.8442
6,BRL,2013-08-03 00:00:00,0.8495,0.8384,0.8426
7,BRL,2013-08-04 00:00:00,0.8486,0.8375,0.84305
8,BRL,2013-08-05 00:00:00,0.8546,0.8335,0.8384
9,BRL,2013-08-06 00:00:00,0.8457,0.8315,0.8381
10,BRL,2013-08-07 00:00:00,0.8448,0.8294,0.834
11,BRL,2013-08-08 00:00:00,0.8497,0.8277,0.8393
12,BRL,2013-08-09 00:00:00,0.853,0.823,0.8449
13,BRL,2013-08-10 00:00:00,0.8529,0.8401,0.8439
14,BRL,2013-08-11 00:00:00,0.8529,0.838,0.8418
15,BRL,2013-08-12 00:00:00,0.8542,0.835,0.83875
16,BRL,2013-08-13 00:00:00,0.8534,0.8307,0.8348
17,BRL,2013-08-14 00:00:00,0.8431,0.8264,0.83025
18,BRL,2013-08-15 00:00:00,0.8426,0.8205,0.8305
19,BRL,2013-08-16 00:00:00,0.833,0.8035,0.8112
20,BRL,2013-08-17 00:00:00,0.8148,0.8053,0.81085
21,BRL,2013-08-18 00:00:00,0.8148,0.8072,0.81085
22,BRL,2013-08-19 00:00:00,0.8216,0.7995,0.80865
23,BRL,2013-08-20 00:00:00,0.8195,0.7998,0.81375
24,BRL,2013-08-21 00:00:00,0.823,0.7977,0.80115
25,BRL,2013-08-22 00:00:00,0.825,0.8001,0.81585
26,BRL,2013-08-23 00:00:00,0.8496,0.8091,0.8458
27,BRL,2013-08-24 00:00:00,0.8502,0.841,0.84475
28,BRL,2013-08-25 00:00:00,0.8494,0.841,0.8456
29,BRL,2013-08-26 00:00:00,0.854,0.8275,0.8367
30,BRL,2013-08-27 00:00:00,0.8631,0.8308,0.85935
31,BRL,2013-08-28 00:00:00,0.8899,0.8537,0.87785
