,Exchange,Date,High,Low,Close
0,JPY,2013-07-27 00:00:00,1.963,1.945,1.953
1,JPY,2013-07-28 00:00:00,1.963,1.945,1.9545
2,JPY,2013-07-29 00:00:00,1.976,1.948,1.9615
3,JPY,2013-07-30 00:00:00,1.971,1.942,1.9605
4,JPY,2013-07-31 00:00:00,1.989,1.947,1.978
5,JPY,2013-08-01 00:00:00,1.988,1.937,1.948
6,JPY,2013-08-02 00:00:00,1.965,1.933,1.9475
7,JPY,2013-08-03 00:00:00,1.954,1.931,1.9395
8,JPY,2013-08-04 00:00:00,1.949,1.932,1.94
9,JPY,2013-08-05 00:00:00,1.97,1.929,1.962
10,JPY,2013-08-06 00:00:00,1.978,1.945,1.968
11,JPY,2013-08-07 00:00:00,2.007,1.963,1.9975
12,JPY,2013-08-08 00:00:00,2.015,1.972,1.985
13,JPY,2013-08-09 00:00:00,2.008,1.969,1.9935
14,JPY,2013-08-10 00:00:00,2.01,1.982,1.99
15,JPY,2013-08-11 00:00:00,2.011,1.977,1.985
16,JPY,2013-08-12 00:00:00,2.011,1.971,1.9795
17,JPY,2013-08-13 00:00:00,1.983,1.951,1.964
18,JPY,2013-08-14 00:00:00,1.978,1.948,1.9655
19,JPY,2013-08-15 00:00:00,2.002,1.952,1.9925
20,JPY,2013-08-16 00:00:00,2.0,1.963,1.98
21,JPY,2013-08-17 00:00:00,1.995,1.973,1.9865
22,JPY,2013-08-18 00:00:00,1.995,1.977,1.986
23,JPY,2013-08-19 00:00:00,2.004,1.973,1.9945
24,JPY,2013-08-20 00:00:00,2.018,1.982,1.9995
25,JPY,2013-08-21 00:00:00,2.02,1.983,2.007
26,JPY,2013-08-22 00:00:00,2.03,1.991,2.0105
27,JPY,2013-08-23 00:00:00,2.027,1.99,2.011
28,JPY,2013-08-24 00:00:00,2.018,1.999,2.0065
29,JPY,2013-08-25 00:00:00,2.016,1.999,2.0085
30,JPY,2013-08-26 00:00:00,2.033,1.999,2.02
31,JPY,2013-08-27 00:00:00,2.102,2.014,2.092
32,JPY,2013-08-28 00:00:00,2.134,2.078,2.1035
33,JPY,2013-08-29 00:00:00,2.113,2.047,2.06
34,JPY,2013-08-30 00:00:00,2.081,2.04,2.0565
35,JPY,2013-08-31 00:00:00,2.078,2.047,2.0595
36,JPY,2013-09-01 00:00:00,2.078,2.052,2.069
37,JPY,2013-09-02 00:00:00,2.07,2.013,2.0255
38,JPY,2013-09-03 00:00:00,2.075,2.012,2.0605
39,JPY,2013-09-04 00:00:00,2.078,2.037,2.058
40,JPY,2013-09-05 00:00:00,2.087,2.035,2.07
41,JPY,2013-09-06 00:00:00,2.092,2.044,2.074
42,JPY,2013-09-07 00:00:00,2.075,2.054,2.071
43,JPY,2013-09-08 00:00:00,2.072,2.055,2.071
44,JPY,2013-09-09 00:00:00,2.068,2.022,2.039
45,JPY,2013-09-10 00:00:00,2.04,1.986,2.004
46,JPY,2013-09-11 00:00:00,2.026,1.986,2.0175
47,JPY,2013-09-12 00:00:00,2.04,2.005,2.024
48,JPY,2013-09-13 00:00:00,2.049,2.008,2.0395
49,JPY,2013-09-14 00:00:00,2.045,2.027,2.0345
50,JPY,2013-09-15 00:00:00,2.044,2.025,2.0335
51,JPY,2013-09-16 00:00:00,2.054,1.999,2.0085
52,JPY,2013-09-17 00:00:00,2.031,1.997,2.0185
53,JPY,2013-09-18 00:00:00,2.046,2.002,2.038
54,JPY,2013-09-19 00:00:00,2.04,1.954,1.966
55,JPY,2013-09-20 00:00:00,1.996,1.957,1.987
56,JPY,2013-09-21 00:00:00,1.996,1.978,1.9855
57,JPY,2013-09-22 00:00:00,2.003,1.978,1.9905
58,JPY,2013-09-23 00:00:00,2.017,1.968,2.004
59,JPY,2013-09-24 00:00:00,2.036,1.99,2.0215
60,JPY,2013-09-25 00:00:00,2.042,2.011,2.031
61,JPY,2013-09-26 00:00:00,2.055,2.016,2.0325
62,JPY,2013-09-27 00:00:00,2.076,2.023,2.061
63,JPY,2013-09-28 00:00:00,2.066,2.05,2.0575
64,JPY,2013-09-29 00:00:00,2.083,2.05,2.0575
65,JPY,2013-09-30 00:00:00,2.095,2.04,2.051
66,JPY,2013-10-01 00:00:00,2.066,2.03,2.0475
67,JPY,2013-10-02 00:00:00,2.082,2.038,2.0525
68,JPY,2013-10-03 00:00:00,2.071,2.027,2.056
69,JPY,2013-10-04 00:00:00,2.069,2.029,2.0385
70,JPY,2013-10-05 00:00:00,2.045,2.025,2.0345
71,JPY,2013-10-06 00:00:00,2.063,2.027,2.0345
72,JPY,2013-10-07 00:00:00,2.069,2.032,2.0525
73,JPY,2013-10-08 00:00:00,2.066,2.027,2.041
74,JPY,2013-10-09 00:00:00,2.055,2.021,2.0355
75,JPY,2013-10-10 00:00:00,2.037,1.998,2.007
76,JPY,2013-10-11 00:00:00,2.022,1.991,2.0085
77,JPY,2013-10-12 00:00:00,2.015,1.994,2.0065
78,JPY,2013-10-13 00:00:00,2.025,1.997,2.0065
79,JPY,2013-10-14 00:00:00,2.029,1.999,2.01
80,JPY,2013-10-15 00:00:00,2.029,1.997,2.0195
81,JPY,2013-10-16 00:00:00,2.026,1.984,1.9935
82,JPY,2013-10-17 00:00:00,2.031,1.984,2.0045
83,JPY,2013-10-18 00:00:00,2.036,1.991,2.009
84,JPY,2013-10-19 00:00:00,2.034,2.002,2.0095
85,JPY,2013-10-20 00:00:00,2.034,2.0,2.0095
86,JPY,2013-10-21 00:00:00,2.029,1.993,2.0085
87,JPY,2013-10-22 00:00:00,2.026,1.986,1.9995
88,JPY,2013-10-23 00:00:00,2.039,1.993,2.0225
89,JPY,2013-10-24 00:00:00,2.04,2.008,2.0285
90,JPY,2013-10-25 00:00:00,2.053,2.018,2.0285
91,JPY,2013-10-26 00:00:00,2.038,2.02,2.0295
92,JPY,2013-10-27 00:00:00,2.038,2.019,2.0305
93,JPY,2013-10-28 01:00:00,2.038,2.013,2.026
94,JPY,2013-10-29 01:00:00,2.044,2.008,2.0255
95,JPY,2013-10-30 01:00:00,2.035,2.002,2.0125
96,JPY,2013-10-31 01:00:00,2.037,2.006,2.0205
97,JPY,2013-11-01 01:00:00,2.054,2.016,2.038
98,JPY,2013-11-02 01:00:00,2.046,2.028,2.036
99,JPY,2013-11-03 01:00:00,2.047,2.028,2.039
100,JPY,2013-11-04 01:00:00,2.052,2.025,2.038
