,Exchange,Date,High,Low,Close
0,RUB,2013-07-28 00:00:00,0.0587,0.0586,0.0586
1,RUB,2013-07-29 00:00:00,0.0588,0.0585,0.05855
2,RUB,2013-07-30 00:00:00,0.0588,0.0582,0.05835
3,RUB,2013-07-31 00:00:00,0.059,0.0581,0.05885
4,RUB,2013-08-01 00:00:00,0.059,0.0584,0.05865
5,RUB,2013-08-02 00:00:00,0.059,0.0581,0.05875
6,RUB,2013-08-03 00:00:00,0.0588,0.0585,0.05855
7,RUB,2013-08-04 00:00:00,0.0586,0.0585,0.05855
8,RUB,2013-08-05 00:00:00,0.059,0.0583,0.05865
9,RUB,2013-08-06 00:00:00,0.0588,0.0584,0.0584
10,RUB,2013-08-07 00:00:00,0.0588,0.0582,0.05875
11,RUB,2013-08-08 00:00:00,0.0588,0.0581,0.05835
12,RUB,2013-08-09 00:00:00,0.0588,0.0581,0.0584
13,RUB,2013-08-10 00:00:00,0.0586,0.0582,0.05825
14,RUB,2013-08-11 00:00:00,0.0588,0.0581,0.05825
15,RUB,2013-08-12 00:00:00,0.0588,0.058,0.05815
16,RUB,2013-08-13 00:00:00,0.0585,0.058,0.0584
17,RUB,2013-08-14 00:00:00,0.0586,0.0582,0.05835
18,RUB,2013-08-15 00:00:00,0.0591,0.0581,0.059
19,RUB,2013-08-16 00:00:00,0.0591,0.0583,0.0588
20,RUB,2013-08-17 00:00:00,0.059,0.0588,0.05895
21,RUB,2013-08-19 00:00:00,0.0593,0.0587,0.0591
22,RUB,2013-08-20 00:00:00,0.0593,0.0588,0.0591
23,RUB,2013-08-21 00:00:00,0.0596,0.0589,0.05935
24,RUB,2013-08-22 00:00:00,0.0602,0.0591,0.06015
25,RUB,2013-08-23 00:00:00,0.0604,0.0599,0.06015
26,RUB,2013-08-24 00:00:00,0.0602,0.06,0.06
27,RUB,2013-08-25 00:00:00,0.0601,0.06,0.06005
28,RUB,2013-08-26 00:00:00,0.0606,0.06,0.06025
29,RUB,2013-08-27 00:00:00,0.0614,0.0601,0.0613
30,RUB,2013-08-28 00:00:00,0.0624,0.0612,0.06195
31,RUB,2013-08-29 00:00:00,0.062,0.0609,0.06095
32,RUB,2013-08-30 00:00:00,0.0612,0.0606,0.06075
33,RUB,2013-08-31 00:00:00,0.0612,0.0607,0.06085
34,RUB,2013-09-01 00:00:00,0.0612,0.0608,0.0611
35,RUB,2013-09-02 00:00:00,0.0611,0.0602,0.06035
36,RUB,2013-09-03 00:00:00,0.0616,0.0602,0.0613
37,RUB,2013-09-04 00:00:00,0.0617,0.061,0.06165
38,RUB,2013-09-05 00:00:00,0.0623,0.0613,0.0618
39,RUB,2013-09-06 00:00:00,0.0622,0.0613,0.0615
40,RUB,2013-09-07 00:00:00,0.0616,0.0613,0.0614
41,RUB,2013-09-08 00:00:00,0.0616,0.0613,0.0616
42,RUB,2013-09-09 00:00:00,0.0618,0.0609,0.0611
43,RUB,2013-09-10 00:00:00,0.0615,0.0608,0.0609
44,RUB,2013-09-11 00:00:00,0.0617,0.0608,0.0615
45,RUB,2013-09-12 00:00:00,0.062,0.0612,0.06175
46,RUB,2013-09-13 00:00:00,0.0626,0.0616,0.06245
47,RUB,2013-09-14 00:00:00,0.0624,0.0623,0.06235
48,RUB,2013-09-15 00:00:00,0.0625,0.0623,0.0623
49,RUB,2013-09-16 00:00:00,0.0624,0.0613,0.06165
50,RUB,2013-09-17 00:00:00,0.0623,0.0616,0.0622
51,RUB,2013-09-18 00:00:00,0.0632,0.0618,0.06285
52,RUB,2013-09-19 00:00:00,0.063,0.0606,0.06185
53,RUB,2013-09-20 00:00:00,0.0623,0.0617,0.0621
54,RUB,2013-09-21 00:00:00,0.0622,0.062,0.06205
55,RUB,2013-09-22 00:00:00,0.0622,0.062,0.06215
56,RUB,2013-09-23 00:00:00,0.0626,0.0615,0.06235
57,RUB,2013-09-24 00:00:00,0.0628,0.0622,0.0627
58,RUB,2013-09-25 00:00:00,0.0629,0.0622,0.06235
59,RUB,2013-09-26 00:00:00,0.063,0.0622,0.06225
60,RUB,2013-09-27 00:00:00,0.0631,0.0622,0.0627
61,RUB,2013-09-28 00:00:00,0.0627,0.0626,0.0626
62,RUB,2013-09-29 00:00:00,0.063,0.0626,0.0627
63,RUB,2013-09-30 00:00:00,0.0632,0.0622,0.0623
64,RUB,2013-10-01 00:00:00,0.0625,0.062,0.06235
65,RUB,2013-10-02 00:00:00,0.0627,0.062,0.06215
66,RUB,2013-10-03 00:00:00,0.0625,0.0619,0.06225
67,RUB,2013-10-04 00:00:00,0.0625,0.0616,0.0618
68,RUB,2013-10-05 00:00:00,0.0619,0.0616,0.06175
69,RUB,2013-10-06 00:00:00,0.0623,0.0616,0.0617
70,RUB,2013-10-07 00:00:00,0.0621,0.0614,0.0617
71,RUB,2013-10-08 00:00:00,0.0619,0.061,0.0611
72,RUB,2013-10-09 00:00:00,0.0616,0.0611,0.06135
73,RUB,2013-10-10 00:00:00,0.0616,0.0609,0.0613
74,RUB,2013-10-11 00:00:00,0.0616,0.0611,0.0614
75,RUB,2013-10-12 00:00:00,0.0614,0.0612,0.0614
76,RUB,2013-10-13 00:00:00,0.0614,0.0613,0.0614
77,RUB,2013-10-14 00:00:00,0.0617,0.0612,0.06145
78,RUB,2013-10-15 00:00:00,0.0617,0.0611,0.0616
79,RUB,2013-10-16 00:00:00,0.0619,0.0613,0.0615
80,RUB,2013-10-17 00:00:00,0.0623,0.0613,0.06165
81,RUB,2013-10-18 00:00:00,0.0624,0.0615,0.06175
82,RUB,2013-10-19 00:00:00,0.0622,0.0616,0.06165
83,RUB,2013-10-20 00:00:00,0.0623,0.0616,0.06175
84,RUB,2013-10-21 00:00:00,0.0623,0.0616,0.06185
85,RUB,2013-10-22 00:00:00,0.0622,0.0617,0.062
86,RUB,2013-10-23 00:00:00,0.0623,0.0618,0.0621
87,RUB,2013-10-24 00:00:00,0.0625,0.062,0.06235
88,RUB,2013-10-25 00:00:00,0.0628,0.0621,0.06225
89,RUB,2013-10-26 00:00:00,0.0623,0.0622,0.06225
90,RUB,2013-10-27 00:00:00,0.0623,0.0622,0.06225
91,RUB,2013-10-28 01:00:00,0.0624,0.062,0.0621
92,RUB,2013-10-29 01:00:00,0.0623,0.0617,0.06205
93,RUB,2013-10-30 01:00:00,0.0623,0.0617,0.062
94,RUB,2013-10-31 01:00:00,0.0626,0.0618,0.06205
95,RUB,2013-11-01 01:00:00,0.0625,0.0618,0.06215
96,RUB,2013-11-02 01:00:00,0.0622,0.0621,0.06215
97,RUB,2013-11-03 01:00:00,0.0622,0.0621,0.0622
98,RUB,2013-11-04 01:00:00,0.0625,0.0619,0.06225
99,RUB,2013-11-05 01:00:00,0.0627,0.0621,0.06245
100,RUB,2013-11-06 01:00:00,0.063,0.0622,0.0627
101,RUB,2013-11-07 01:00:00,0.0632,0.0624,0.06255
102,RUB,2013-11-08 01:00:00,0.0628,0.062,0.06255
103,RUB,2013-11-09 01:00:00,0.0626,0.0623,0.0624
104,RUB,2013-11-11 01:00:00,0.0625,0.062,0.0621
105,RUB,2013-11-12 01:00:00,0.0625,0.062,0.06225
106,RUB,2013-11-13 01:00:00,0.0627,0.0622,0.06255
107,RUB,2013-11-14 01:00:00,0.0627,0.0621,0.0625
108,RUB,2013-11-15 01:00:00,0.0625,0.062,0.06235
109,RUB,2013-11-16 01:00:00,0.0624,0.0622,0.0622
110,RUB,2013-11-17 01:00:00,0.0624,0.0622,0.06235
111,RUB,2013-11-18 01:00:00,0.0624,0.0619,0.062
112,RUB,2013-11-19 01:00:00,0.0622,0.0611,0.06135
113,RUB,2013-11-20 01:00:00,0.0616,0.0607,0.0609
114,RUB,2013-11-21 01:00:00,0.0615,0.0606,0.06125
115,RUB,2013-11-22 01:00:00,0.0616,0.061,0.0613
116,RUB,2013-11-23 01:00:00,0.0613,0.0612,0.06125
117,RUB,2013-11-24 01:00:00,0.0613,0.0612,0.06125
118,RUB,2013-11-25 01:00:00,0.0615,0.0604,0.0608
119,RUB,2013-11-26 01:00:00,0.0614,0.0606,0.06115
120,RUB,2013-11-27 01:00:00,0.0614,0.0608,0.06085
121,RUB,2013-11-28 01:00:00,0.0612,0.0606,0.0607
122,RUB,2013-11-29 01:00:00,0.0611,0.0605,0.06085
123,RUB,2013-11-30 01:00:00,0.0609,0.0608,0.06085
124,RUB,2013-12-01 01:00:00,0.0609,0.0608,0.0608
125,RUB,2013-12-02 01:00:00,0.0614,0.0608,0.06135
126,RUB,2013-12-03 01:00:00,0.0615,0.061,0.0613
127,RUB,2013-12-04 01:00:00,0.0618,0.061,0.0617
128,RUB,2013-12-05 01:00:00,0.0621,0.0616,0.06175
129,RUB,2013-12-06 01:00:00,0.0621,0.0616,0.06175
130,RUB,2013-12-07 01:00:00,0.0619,0.0618,0.06185
131,RUB,2013-12-08 01:00:00,0.0619,0.0616,0.06165
132,RUB,2013-12-09 01:00:00,0.0622,0.0615,0.06205
133,RUB,2013-12-10 01:00:00,0.0623,0.0616,0.0619
134,RUB,2013-12-11 01:00:00,0.0624,0.0618,0.0622
135,RUB,2013-12-12 01:00:00,0.0624,0.062,0.06225
136,RUB,2013-12-13 01:00:00,0.0624,0.0618,0.06195
137,RUB,2013-12-14 01:00:00,0.062,0.0619,0.06195
138,RUB,2013-12-15 01:00:00,0.0621,0.0619,0.06205
139,RUB,2013-12-16 01:00:00,0.0621,0.0615,0.0616
140,RUB,2013-12-17 01:00:00,0.0621,0.0614,0.06185
141,RUB,2013-12-18 01:00:00,0.0624,0.0616,0.062
142,RUB,2013-12-19 01:00:00,0.0631,0.0619,0.06295
143,RUB,2013-12-20 01:00:00,0.0636,0.0627,0.0633
144,RUB,2013-12-21 01:00:00,0.0633,0.0632,0.0633
145,RUB,2013-12-22 01:00:00,0.0634,0.0632,0.0633
146,RUB,2013-12-23 01:00:00,0.0642,0.0631,0.0639
147,RUB,2013-12-24 01:00:00,0.0644,0.0635,0.06365
148,RUB,2013-12-25 01:00:00,0.0639,0.063,0.06365
149,RUB,2013-12-26 01:00:00,0.0655,0.0636,0.06505
150,RUB,2013-12-27 01:00:00,0.0668,0.0647,0.066
151,RUB,2013-12-28 01:00:00,0.0661,0.0659,0.06595
152,RUB,2013-12-29 01:00:00,0.0661,0.0658,0.066
153,RUB,2013-12-30 01:00:00,0.0663,0.0645,0.0647
154,RUB,2013-12-31 01:00:00,0.0656,0.0642,0.0653
155,RUB,2014-01-01 01:00:00,0.0655,0.0652,0.06525
156,RUB,2014-01-02 01:00:00,0.0661,0.0651,0.0656
157,RUB,2014-01-03 01:00:00,0.0659,0.0652,0.06555
158,RUB,2014-01-04 01:00:00,0.0657,0.0655,0.06555
159,RUB,2014-01-05 01:00:00,0.0657,0.0655,0.0655
160,RUB,2014-01-06 01:00:00,0.0661,0.0654,0.06555
161,RUB,2014-01-07 01:00:00,0.0656,0.065,0.0652
162,RUB,2014-01-08 01:00:00,0.0658,0.0651,0.0656
163,RUB,2014-01-09 01:00:00,0.0663,0.0655,0.06565
164,RUB,2014-01-10 01:00:00,0.0658,0.0652,0.06545
165,RUB,2014-01-11 01:00:00,0.0656,0.0655,0.0655
166,RUB,2014-01-12 01:00:00,0.0656,0.0654,0.06545
167,RUB,2014-01-13 01:00:00,0.0658,0.0652,0.0653
168,RUB,2014-01-14 01:00:00,0.0659,0.0652,0.0654
169,RUB,2014-01-15 01:00:00,0.0658,0.0653,0.0654
170,RUB,2014-01-16 01:00:00,0.0662,0.0653,0.06615
171,RUB,2014-01-17 01:00:00,0.0662,0.0658,0.06595
172,RUB,2014-01-18 01:00:00,0.0664,0.0659,0.0663
173,RUB,2014-01-19 01:00:00,0.0664,0.0663,0.0663
174,RUB,2014-01-20 01:00:00,0.0669,0.0661,0.06625
175,RUB,2014-01-21 01:00:00,0.0667,0.0657,0.06645
176,RUB,2014-01-22 01:00:00,0.0669,0.0661,0.0666
177,RUB,2014-01-23 01:00:00,0.0674,0.0663,0.06705
178,RUB,2014-01-24 01:00:00,0.0677,0.0665,0.06725
179,RUB,2014-01-25 01:00:00,0.0677,0.0673,0.0674
180,RUB,2014-01-26 01:00:00,0.0678,0.0674,0.0674
181,RUB,2014-01-27 01:00:00,0.0686,0.0662,0.06655
182,RUB,2014-01-28 01:00:00,0.0665,0.0649,0.065
183,RUB,2014-01-29 01:00:00,0.0658,0.0622,0.0641
184,RUB,2014-01-30 01:00:00,0.065,0.0638,0.0642
185,RUB,2014-01-31 01:00:00,0.0651,0.064,0.06445
186,RUB,2014-02-01 01:00:00,0.0646,0.0641,0.0643
187,RUB,2014-02-02 01:00:00,0.0643,0.0641,0.0641
188,RUB,2014-02-03 01:00:00,0.0647,0.0638,0.06395
189,RUB,2014-02-04 01:00:00,0.0645,0.0637,0.06435
190,RUB,2014-02-05 01:00:00,0.0647,0.0637,0.06415
191,RUB,2014-02-06 01:00:00,0.0647,0.0634,0.06355
192,RUB,2014-02-07 01:00:00,0.0641,0.0633,0.06365
193,RUB,2014-02-08 01:00:00,0.0637,0.0635,0.06365
194,RUB,2014-02-09 01:00:00,0.0639,0.0636,0.06375
195,RUB,2014-02-10 01:00:00,0.0642,0.0635,0.06385
196,RUB,2014-02-11 01:00:00,0.0639,0.0631,0.0632
197,RUB,2014-02-12 01:00:00,0.0633,0.0626,0.06265
198,RUB,2014-02-13 01:00:00,0.0633,0.0623,0.0625
199,RUB,2014-02-14 01:00:00,0.0626,0.0618,0.06205
200,RUB,2014-02-15 01:00:00,0.0622,0.062,0.06205
201,RUB,2014-02-16 01:00:00,0.0622,0.062,0.06205
202,RUB,2014-02-17 01:00:00,0.0623,0.0615,0.06165
203,RUB,2014-02-18 01:00:00,0.0619,0.0612,0.06135
204,RUB,2014-02-19 01:00:00,0.0617,0.061,0.06125
205,RUB,2014-02-20 01:00:00,0.0621,0.061,0.0614
206,RUB,2014-02-21 01:00:00,0.0618,0.0611,0.06125
207,RUB,2014-02-22 01:00:00,0.0612,0.061,0.0611
208,RUB,2014-02-23 01:00:00,0.0614,0.0612,0.0612
209,RUB,2014-02-24 01:00:00,0.0616,0.061,0.06115
210,RUB,2014-02-25 01:00:00,0.0625,0.0611,0.0616
211,RUB,2014-02-26 01:00:00,0.062,0.0612,0.06165
212,RUB,2014-02-27 01:00:00,0.0624,0.0613,0.0617
213,RUB,2014-02-28 01:00:00,0.0617,0.0609,0.0611
214,RUB,2014-03-01 01:00:00,0.0614,0.0612,0.0612
215,RUB,2014-03-02 01:00:00,0.0615,0.0612,0.0615
216,RUB,2014-03-03 01:00:00,0.062,0.0602,0.06075
217,RUB,2014-03-04 01:00:00,0.0614,0.0607,0.06125
218,RUB,2014-03-05 01:00:00,0.0614,0.0609,0.0611
219,RUB,2014-03-06 01:00:00,0.0612,0.0602,0.0603
220,RUB,2014-03-07 01:00:00,0.0606,0.06,0.06035
221,RUB,2014-03-08 01:00:00,0.0604,0.0603,0.06035
222,RUB,2014-03-09 01:00:00,0.0604,0.0603,0.0604
223,RUB,2014-03-10 01:00:00,0.061,0.0603,0.0609
224,RUB,2014-03-11 01:00:00,0.0613,0.0607,0.06105
225,RUB,2014-03-12 01:00:00,0.0618,0.061,0.06115
226,RUB,2014-03-13 01:00:00,0.0613,0.0607,0.0608
227,RUB,2014-03-14 01:00:00,0.0612,0.0605,0.0607
228,RUB,2014-03-15 01:00:00,0.0607,0.0603,0.06035
229,RUB,2014-03-16 01:00:00,0.0605,0.0603,0.06045
230,RUB,2014-03-17 01:00:00,0.0614,0.0602,0.06115
231,RUB,2014-03-18 01:00:00,0.0613,0.0607,0.06115
232,RUB,2014-03-19 01:00:00,0.0619,0.0611,0.06155
233,RUB,2014-03-20 01:00:00,0.0624,0.0612,0.0613
234,RUB,2014-03-21 01:00:00,0.0617,0.0611,0.0615
235,RUB,2014-03-22 01:00:00,0.0618,0.0615,0.0616
236,RUB,2014-03-23 01:00:00,0.0618,0.0616,0.0618
237,RUB,2014-03-24 01:00:00,0.0621,0.0614,0.06195
238,RUB,2014-03-25 01:00:00,0.0628,0.0618,0.0627
239,RUB,2014-03-26 01:00:00,0.063,0.0616,0.06175
240,RUB,2014-03-27 01:00:00,0.0619,0.0611,0.0613
241,RUB,2014-03-28 01:00:00,0.0615,0.0607,0.0612
242,RUB,2014-03-29 01:00:00,0.0614,0.0611,0.0612
243,RUB,2014-03-30 01:00:00,0.0614,0.0612,0.06135
244,RUB,2014-03-31 01:00:00,0.0615,0.0605,0.06115
245,RUB,2014-04-01 00:00:00,0.0614,0.0607,0.06105
246,RUB,2014-04-02 00:00:00,0.0611,0.06,0.06005
247,RUB,2014-04-03 00:00:00,0.0604,0.0598,0.0599
248,RUB,2014-04-04 00:00:00,0.0605,0.0596,0.0597
249,RUB,2014-04-05 00:00:00,0.0598,0.0597,0.0598
250,RUB,2014-04-06 00:00:00,0.0598,0.0597,0.05975
251,RUB,2014-04-07 00:00:00,0.0603,0.0592,0.0594
252,RUB,2014-04-08 00:00:00,0.0596,0.0584,0.0585
253,RUB,2014-04-09 00:00:00,0.0596,0.0585,0.05945
254,RUB,2014-04-10 00:00:00,0.0596,0.0588,0.059
255,RUB,2014-04-11 00:00:00,0.0598,0.0588,0.0591
256,RUB,2014-04-12 00:00:00,0.0593,0.0591,0.05925
257,RUB,2014-04-14 00:00:00,0.0595,0.0587,0.0589
258,RUB,2014-04-15 00:00:00,0.0593,0.0587,0.05905
259,RUB,2014-04-16 00:00:00,0.0594,0.0587,0.05925
260,RUB,2014-04-17 00:00:00,0.0599,0.0591,0.05985
261,RUB,2014-04-18 00:00:00,0.0602,0.0596,0.0597
262,RUB,2014-04-19 00:00:00,0.0599,0.0598,0.05985
263,RUB,2014-04-21 00:00:00,0.06,0.0596,0.0597
264,RUB,2014-04-22 00:00:00,0.06,0.0596,0.0599
265,RUB,2014-04-23 00:00:00,0.0603,0.0598,0.0602
266,RUB,2014-04-24 00:00:00,0.0603,0.0595,0.05965
267,RUB,2014-04-25 00:00:00,0.0598,0.059,0.05915
268,RUB,2014-04-26 00:00:00,0.0592,0.0591,0.05915
269,RUB,2014-04-27 00:00:00,0.0592,0.0591,0.0592
270,RUB,2014-04-28 00:00:00,0.0594,0.059,0.05925
271,RUB,2014-04-29 00:00:00,0.0597,0.0591,0.0594
272,RUB,2014-04-30 00:00:00,0.0596,0.059,0.0593
273,RUB,2014-05-01 00:00:00,0.0594,0.059,0.05915
274,RUB,2014-05-02 00:00:00,0.0592,0.0584,0.0586
275,RUB,2014-05-03 00:00:00,0.0587,0.0585,0.0586
276,RUB,2014-05-04 00:00:00,0.0587,0.0586,0.0587
277,RUB,2014-05-05 00:00:00,0.0589,0.0584,0.0587
278,RUB,2014-05-06 00:00:00,0.0591,0.0585,0.059
279,RUB,2014-05-07 00:00:00,0.0597,0.0588,0.05955
280,RUB,2014-05-08 00:00:00,0.0597,0.0589,0.05895
281,RUB,2014-05-09 00:00:00,0.0593,0.0588,0.059
282,RUB,2014-05-10 00:00:00,0.059,0.0588,0.05895
283,RUB,2014-05-11 00:00:00,0.059,0.0588,0.05895
284,RUB,2014-05-12 00:00:00,0.0595,0.0587,0.0594
285,RUB,2014-05-13 00:00:00,0.0597,0.0592,0.05925
286,RUB,2014-05-14 00:00:00,0.0599,0.0592,0.0597
287,RUB,2014-05-15 00:00:00,0.0603,0.0594,0.06015
288,RUB,2014-05-16 00:00:00,0.0606,0.06,0.06025
289,RUB,2014-05-17 00:00:00,0.0603,0.0601,0.06025
290,RUB,2014-05-19 00:00:00,0.0609,0.06,0.06055
291,RUB,2014-05-20 00:00:00,0.0613,0.0603,0.0612
