,Exchange,Date,High,Low,Close
0,USD,2013-07-29 00:00:00,1.926,1.921,1.9245
1,USD,2013-07-30 00:00:00,1.9275,1.921,1.926
2,USD,2013-07-31 00:00:00,1.9455,1.928,1.9415
3,USD,2013-08-01 00:00:00,1.944,1.933,1.9425
4,USD,2013-08-02 00:00:00,1.947,1.925,1.9305
5,USD,2013-08-03 00:00:00,1.925,1.922,1.9235
6,USD,2013-08-05 00:00:00,1.9345,1.925,1.9325
7,USD,2013-08-06 00:00:00,1.932,1.927,1.9275
8,USD,2013-08-07 00:00:00,1.9325,1.928,1.9305
9,USD,2013-08-12 00:00:00,1.927,1.919,1.921
10,USD,2013-08-13 00:00:00,1.935,1.923,1.9325
11,USD,2013-08-14 00:00:00,1.94,1.932,1.9325
12,USD,2013-08-15 00:00:00,1.945,1.926,1.9425
13,USD,2013-08-16 00:00:00,1.937,1.934,1.9365
14,USD,2013-08-17 00:00:00,1.942,1.941,1.9415
15,USD,2013-08-19 00:00:00,1.955,1.943,1.9505
16,USD,2013-08-20 00:00:00,1.953,1.942,1.9485
17,USD,2013-08-21 00:00:00,1.968,1.954,1.9665
18,USD,2013-08-22 00:00:00,1.9925,1.976,1.9895
19,USD,2013-08-23 00:00:00,1.997,1.98,1.9895
20,USD,2013-08-24 00:00:00,1.986,1.985,1.9855
21,USD,2013-08-26 00:00:00,1.999,1.99,1.9925
22,USD,2013-08-27 00:00:00,2.038,2.014,2.0355
23,USD,2013-08-28 00:00:00,2.072,2.042,2.0585
24,USD,2013-08-29 00:00:00,2.038,2.027,2.0285
25,USD,2013-08-30 00:00:00,2.034,2.018,2.0235
26,USD,2013-08-31 00:00:00,2.028,2.021,2.0265
27,USD,2013-09-02 00:00:00,2.021,2.01,2.0165
28,USD,2013-09-03 00:00:00,2.061,2.034,2.0565
29,USD,2013-09-04 00:00:00,2.062,2.049,2.0565
30,USD,2013-09-05 00:00:00,2.083,2.062,2.07
31,USD,2013-09-06 00:00:00,2.0695,2.046,2.0535
32,USD,2013-09-07 00:00:00,2.05,2.048,2.05
33,USD,2013-09-09 00:00:00,2.043,2.027,2.0275
34,USD,2013-09-10 00:00:00,2.037,2.006,2.009
35,USD,2013-09-11 00:00:00,2.0195,2.004,2.0185
36,USD,2013-09-12 00:00:00,2.0275,2.015,2.017
37,USD,2013-09-13 00:00:00,2.0315,2.021,2.02925
38,USD,2013-09-14 00:00:00,2.0285,2.026,2.0265
39,USD,2013-09-16 00:00:00,1.9995,1.987,1.9945
40,USD,2013-09-17 00:00:00,2.012,2.002,2.00625
41,USD,2013-09-18 00:00:00,2.006,1.997,1.9995
42,USD,2013-09-19 00:00:00,1.9635,1.9475,1.9595
43,USD,2013-09-20 00:00:00,1.9855,1.963,1.979
44,USD,2013-09-21 00:00:00,1.9785,1.977,1.9775
45,USD,2013-09-23 00:00:00,1.994,1.981,1.98425
46,USD,2013-09-24 00:00:00,2.004,1.986,2.0005
47,USD,2013-09-25 00:00:00,2.008,2.0,2.004
48,USD,2013-09-26 00:00:00,2.017,2.007,2.015
49,USD,2013-09-27 00:00:00,2.0425,2.026,2.02925
50,USD,2013-09-28 00:00:00,2.028,2.026,2.0265
51,USD,2013-09-30 00:00:00,2.0395,2.019,2.0205
52,USD,2013-10-01 00:00:00,2.0175,2.008,2.0105
53,USD,2013-10-02 00:00:00,2.023,2.002,2.003
54,USD,2013-10-03 00:00:00,2.0065,1.996,2.005
55,USD,2013-10-04 00:00:00,2.0015,1.99,1.9905
56,USD,2013-10-05 00:00:00,1.988,1.985,1.9875
57,USD,2013-10-07 00:00:00,2.001,1.99,1.991
58,USD,2013-10-08 00:00:00,1.994,1.979,1.9815
59,USD,2013-10-09 00:00:00,1.9905,1.9825,1.98425
60,USD,2013-10-10 00:00:00,1.983,1.973,1.9755
61,USD,2013-10-11 00:00:00,1.9845,1.9755,1.98325
62,USD,2013-10-12 00:00:00,1.984,1.9775,1.983
63,USD,2013-10-14 00:00:00,1.9865,1.982,1.985
64,USD,2013-10-21 00:00:00,1.98,1.973,1.97725
65,USD,2013-10-22 00:00:00,1.987,1.966,1.967
66,USD,2013-10-23 00:00:00,1.9785,1.9705,1.97425
67,USD,2013-10-24 00:00:00,1.982,1.9745,1.978
68,USD,2013-10-25 00:00:00,1.9875,1.977,1.98
69,USD,2013-10-26 00:00:00,1.982,1.98,1.98125
70,USD,2013-10-28 01:00:00,1.9855,1.978,1.98325
71,USD,2013-10-30 01:00:00,1.991,1.985,1.987
72,USD,2013-10-31 01:00:00,1.9945,1.9865,1.992
73,USD,2013-11-01 01:00:00,2.0205,1.9975,2.01625
74,USD,2013-11-02 01:00:00,2.016,2.014,2.0145
75,USD,2013-11-04 01:00:00,2.022,2.0135,2.015
76,USD,2013-11-05 01:00:00,2.034,2.0205,2.033
77,USD,2013-11-06 01:00:00,2.032,2.024,2.031
78,USD,2013-11-07 01:00:00,2.035,2.022,2.0325
79,USD,2013-11-08 01:00:00,2.05,2.0215,2.04525
80,USD,2013-11-09 01:00:00,2.038,2.036,2.038
81,USD,2013-11-11 01:00:00,2.0415,2.032,2.04
82,USD,2013-11-12 01:00:00,2.0565,2.047,2.05
83,USD,2013-11-13 01:00:00,2.0575,2.0465,2.0525
84,USD,2013-11-14 01:00:00,2.05,2.039,2.0415
85,USD,2013-11-15 01:00:00,2.0415,2.029,2.03225
86,USD,2013-11-16 01:00:00,2.03,2.028,2.0285
87,USD,2013-11-18 01:00:00,2.0255,2.017,2.0215
88,USD,2013-11-19 01:00:00,2.0235,2.006,2.008
89,USD,2013-11-20 01:00:00,2.014,2.002,2.00525
90,USD,2013-11-21 01:00:00,2.0255,2.014,2.02225
91,USD,2013-11-22 01:00:00,2.0215,2.008,2.00925
92,USD,2013-11-23 01:00:00,2.0085,2.005,2.008
93,USD,2013-11-25 01:00:00,2.005,1.9945,2.0035
94,USD,2013-11-26 01:00:00,2.021,2.005,2.01625
95,USD,2013-11-27 01:00:00,2.027,2.012,2.02125
96,USD,2013-11-28 01:00:00,2.02,2.0125,2.0145
97,USD,2013-11-29 01:00:00,2.0235,2.015,2.0205
98,USD,2013-11-30 01:00:00,2.02,2.019,2.01925
99,USD,2013-12-02 01:00:00,2.041,2.023,2.039
100,USD,2013-12-03 01:00:00,2.0425,2.032,2.03975
101,USD,2013-12-04 01:00:00,2.051,2.043,2.04775
102,USD,2013-12-05 01:00:00,2.053,2.036,2.03775
103,USD,2013-12-06 01:00:00,2.052,2.018,2.0245
104,USD,2013-12-07 01:00:00,2.027,2.025,2.0265
105,USD,2013-12-09 01:00:00,2.036,2.027,2.03025
106,USD,2013-12-10 01:00:00,2.03,2.024,2.0265
107,USD,2013-12-11 01:00:00,2.044,2.028,2.0405
108,USD,2013-12-12 01:00:00,2.045,2.0355,2.04275
109,USD,2013-12-13 01:00:00,2.0435,2.0375,2.0385
110,USD,2013-12-14 01:00:00,2.039,2.038,2.0385
111,USD,2013-12-16 01:00:00,2.0375,2.0255,2.02725
112,USD,2013-12-17 01:00:00,2.044,2.0335,2.04025
113,USD,2013-12-18 01:00:00,2.048,2.039,2.0435
114,USD,2013-12-19 01:00:00,2.079,2.047,2.07825
115,USD,2013-12-20 01:00:00,2.0975,2.084,2.0895
116,USD,2013-12-21 01:00:00,2.091,2.089,2.0905
