trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.005, 'e': 0.9999875000260416}",25,0,-197.757712901882,"{0: 12, 1: 4, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.005, 'e': 0.9999500004166653}",20,0,-202.38151886119797,"{0: 6, 1: 4, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.005, 'e': 0.9998875021093592}",20,0,-105.37033941444666,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
4,False,"{'a': 0.005, 'e': 0.9998000066665778}",20,0,-59.967024490567624,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
5,False,"{'a': 0.005, 'e': 0.9996875162757026}",20,0,-109.88865709161641,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.005, 'e': 0.9995500337489875}",30,0,-139.46184171910258,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
7,False,"{'a': 0.005, 'e': 0.9993875625234886}",20,0,-101.84331624844286,"{0: 9, 1: 4, 2: 5, 3: 2, 4: 0}",0
8,False,"{'a': 0.005, 'e': 0.9992001066609779}",30,0,-117.16549515914625,"{0: 17, 1: 6, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.005, 'e': 0.9989876708478425}",25,0,-152.45251784310423,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
10,False,"{'a': 0.005, 'e': 0.9987502603949663}",20,0,-32.27334105716347,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
11,False,"{'a': 0.005, 'e': 0.9984878812375985}",20,0,-90.89398565418175,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.005, 'e': 0.9982005399352042}",25,0,-118.21772631229996,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
13,False,"{'a': 0.005, 'e': 0.9978882436713011}",20,0,-151.78345980416333,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
