trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.896514725937,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.76037729713818,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.1292958366885,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.887714772034,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,17,-69.39367221746127,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-124.4206487852489,"{0: 17, 1: 7, 2: 4, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-270.6050317769641,"{0: 18, 1: 0, 2: 11, 3: 3, 4: 3}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-79.51596349593738,"{0: 12, 1: 3, 2: 2, 3: 3, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-72.13940732645645,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-195.0989107950432,"{0: 16, 1: 5, 2: 5, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-188.87265046463204,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-75.8394962377586,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-169.48194867108944,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.84100512581007,"{0: 11, 1: 5, 2: 2, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-112.5568014402464,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-161.212208793106,"{0: 8, 1: 2, 2: 6, 3: 3, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,11,-55.479486430734305,"{0: 7, 1: 1, 2: 6, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-192.3818172607022,"{0: 19, 1: 3, 2: 4, 3: 0, 4: 4}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-117.5679757586121,"{0: 13, 1: 6, 2: 4, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.5910652775053,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-123.69332184922634,"{0: 14, 1: 4, 2: 4, 3: 2, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-43.37782133429211,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-153.5779605251576,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-117.48915786209841,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-129.85547349381818,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-69.17965647480727,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-193.08590872204894,"{0: 12, 1: 4, 2: 6, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-103.10052510054481,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.653223585881,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-123.13006281211871,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
